"UNITID","XGRCOHRT","GRCOHRT","XUGENTER","UGENTERN","XPGRCOHR","PGRCOHRT","XRRFTCT","RRFTCT","XRRFTEX","RRFTEX","XRRFTIN","RRFTIN","XRRFTCTA","RRFTCTA","XRET_NMF","RET_NMF","XRET_PCF","RET_PCF","XRRPTCT","RRPTCT","XRRPTEX","RRPTEX","XRRPTIN","RRPTIN","XRRPTCTA","RRPTCTA","XRET_NMP","RET_NMP","XRET_PCP","RET_PCP","XSTUFACR","STUFACR"
172033,"R",2,"R",56,"R",4,"R",1,"R",0,"R",0,"R",1,"R",1,"R",100,"R",0,"R",0,"R",0,"R",0,"R",0,"A",NA,"R",7
172051,"R",1353,"R",1801,"R",75,"R",1284,"R",0,"R",0,"R",1284,"R",996,"R",78,"R",8,"R",0,"R",0,"R",8,"R",2,"R",25,"R",16
172200,"R",1017,"R",3146,"R",32,"R",0,"R",0,"R",0,"R",0,"R",0,"A",NA,"R",1,"R",0,"R",0,"R",1,"R",0,"R",0,"R",27
172264,"R",333,"R",600,"R",56,"R",280,"R",0,"R",0,"R",280,"R",196,"R",70,"R",1,"R",0,"R",0,"R",1,"R",0,"R",0,"R",14
172334,"R",215,"R",401,"R",54,"R",205,"R",0,"R",0,"R",205,"R",158,"R",77,"R",1,"R",0,"R",0,"R",1,"R",1,"R",100,"R",12
172608,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",12
172644,"R",2990,"R",4704,"R",64,"R",2888,"R",1,"R",0,"R",2887,"R",2386,"R",83,"R",100,"R",0,"R",0,"R",100,"R",43,"R",43,"R",14
172699,"R",2437,"R",3646,"R",67,"R",2424,"R",3,"R",0,"R",2421,"R",1964,"R",81,"R",45,"R",0,"R",0,"R",45,"R",29,"R",64,"R",16
172866,"R",8,"R",8,"R",100,"R",1,"R",0,"R",0,"R",1,"R",0,"R",0,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",8
173045,"R",628,"R",882,"R",71,"R",683,"R",0,"R",0,"R",683,"R",494,"R",72,"R",1,"R",0,"R",0,"R",1,"R",0,"R",0,"R",14
173124,"R",475,"R",1467,"R",32,"R",461,"R",0,"R",0,"R",461,"R",335,"R",73,"R",14,"R",0,"R",0,"R",14,"R",4,"R",29,"R",18
173142,"R",175,"R",360,"R",49,"R",189,"R",0,"R",0,"R",189,"R",136,"R",72,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",12
173160,"R",409,"R",1193,"R",34,"R",427,"R",0,"R",0,"R",427,"R",366,"R",86,"R",6,"R",0,"R",0,"R",6,"R",2,"R",33,"R",14
173258,"R",507,"R",546,"R",93,"R",538,"R",0,"R",0,"R",538,"R",519,"R",96,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",8
173300,"R",556,"R",626,"R",89,"R",438,"R",0,"R",0,"R",438,"R",366,"R",84,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",12
173328,"R",452,"R",1397,"R",32,"R",371,"R",0,"R",0,"R",371,"R",250,"R",67,"R",6,"R",0,"R",0,"R",6,"R",1,"R",17,"R",16
173452,"R",174,"R",223,"R",78,"R",150,"R",0,"R",0,"R",150,"R",127,"R",85,"R",0,"R",0,"R",0,"R",0,"R",0,"A",NA,"R",10
173647,"R",490,"R",535,"R",92,"R",499,"R",0,"R",0,"R",499,"R",439,"R",88,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",12
173665,"R",483,"R",627,"R",77,"R",395,"R",0,"R",0,"R",395,"R",309,"R",78,"R",0,"R",0,"R",0,"R",0,"R",0,"A",NA,"R",14
173902,"R",560,"R",586,"R",96,"R",518,"R",0,"R",0,"R",518,"R",478,"R",92,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",10
173920,"R",2316,"R",4821,"R",48,"R",2375,"R",0,"R",0,"R",2375,"R",1906,"R",80,"R",36,"R",0,"R",0,"R",36,"R",25,"R",69,"R",21
173957,"R",55,"R",198,"R",28,"R",0,"R",0,"R",0,"R",0,"R",0,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",4
174020,"R",170,"R",2127,"R",8,"R",114,"R",0,"R",0,"R",114,"R",77,"R",68,"R",40,"R",0,"R",0,"R",40,"R",26,"R",65,"R",15
174066,"R",7343,"R",16337,"R",45,"R",6697,"R",0,"Z",0,"R",6697,"R",6102,"R",91,"R",39,"R",0,"Z",0,"R",39,"R",26,"R",67,"R",17
174075,"R",230,"R",1053,"R",22,"R",210,"R",0,"Z",0,"R",210,"R",168,"R",80,"R",14,"R",0,"Z",0,"R",14,"R",7,"R",50,"R",18
174127,"R",161,"R",219,"R",74,"R",169,"R",0,"R",0,"R",169,"R",126,"R",75,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",12
174154,"R",51,"R",159,"R",32,"R",46,"R",0,"R",0,"R",46,"R",32,"R",70,"R",14,"R",0,"R",0,"R",14,"R",12,"R",86,"R",15
174233,"R",1787,"R",2951,"R",61,"R",1808,"R",0,"Z",0,"R",1808,"R",1467,"R",81,"R",13,"R",0,"Z",0,"R",13,"R",6,"R",46,"R",16
174251,"R",220,"R",313,"R",70,"R",272,"R",0,"Z",0,"R",272,"R",201,"R",74,"R",1,"R",0,"Z",0,"R",1,"R",0,"R",0,"R",9
174358,"R",594,"R",1165,"R",51,"R",603,"R",0,"R",0,"R",603,"R",452,"R",75,"R",6,"R",0,"R",0,"R",6,"R",5,"R",83,"R",17
174437,"R",134,"R",223,"R",60,"R",208,"R",0,"R",0,"R",208,"R",171,"R",82,"R",14,"R",0,"R",0,"R",14,"R",11,"R",79,"R",14
174491,"R",371,"R",1566,"R",24,"R",356,"R",0,"R",0,"R",356,"R",295,"R",83,"R",5,"R",0,"R",0,"R",5,"R",0,"R",0,"R",16
174507,"R",3,"R",119,"R",3,"R",0,"R",0,"R",0,"R",0,"R",0,"A",NA,"R",0,"R",0,"R",0,"R",0,"R",0,"A",NA,"R",6
174525,"R",15,"R",32,"R",47,"R",20,"R",0,"R",0,"R",20,"R",9,"R",45,"R",1,"R",0,"R",0,"R",1,"R",1,"R",100,"R",10
174747,"R",363,"R",394,"R",92,"R",379,"R",0,"R",0,"R",379,"R",327,"R",86,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",11
174783,"R",882,"R",4221,"R",21,"R",845,"R",0,"R",0,"R",845,"R",597,"R",71,"R",50,"R",0,"R",0,"R",50,"R",27,"R",54,"R",18
174792,"R",335,"R",409,"R",82,"R",365,"R",0,"R",0,"R",365,"R",313,"R",86,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",12
174817,"R",251,"R",1199,"R",21,"R",272,"R",0,"R",0,"R",272,"R",203,"R",75,"R",0,"R",0,"R",0,"R",0,"R",0,"A",NA,"R",18
174844,"R",859,"R",899,"R",96,"R",825,"R",1,"Z",0,"R",824,"R",760,"R",92,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",11
174862,"R",177,"R",761,"R",23,"R",189,"R",0,"R",0,"R",189,"R",132,"R",70,"R",16,"R",0,"R",0,"R",16,"R",5,"R",31,"R",15
