UNITID,TotalLiabilities,EndowmentAssets
134945,305198534,66101962
232423,772113628,155516395
225885,3731673,12406140
192040,85553731,150197769
107141,8453037,188646910
203368,199359867,286479073
488776,3510030,NA
462354,9456589,40492
162928,4931363000,13063073000
217235,59913571,346091630
198756,30180692,69181754
220473,38378543,14268458
146339,26302866,7688297
213251,88663841,132688469
498623,21210,NA
219240,2316475,11426842
170532,60671096,304294691
155308,2461351,NA
177746,27195739,84495578
155399,701686560,1019065645
155414,11051333,46748095
185262,442364386,77558866
183062,99076569,61452755
192165,539603,NA
500041,5000,NA
486840,829256846,124042454
203517,896884000,202182612
157100,5491780,7588334
157058,183384836,22486515
157076,19644020,37590851
203535,290581904,626603453
461847,541943,NA
203544,NA,3708147
169983,47913121,120713853
192192,25462554,19026340
213303,32765155,6153853
220516,12611028,39867681
213321,69264780,120608267
146427,55747877,174514569
213349,282900450,45035669
171881,349709,6676265
213358,24171379,13753998
213367,164476570,64679959
117627,25784725,121159499
213385,371640000,1140250000
140234,39759945,65131890
117168,16181389,4725543
203580,35574896,31545508
146481,57413941,123504020
170639,43199199,39257131
238980,45817689,19899969
146533,263279,21809467
226091,100096605,181917130
213400,33568452,19383479
218229,121534039,25729201
247649,23561516,31840272
220598,4848408,8528808
207209,68652854,50243063
166391,67332619,44809203
170675,80340472,54334838
239017,103355274,461234427
192323,106171362,271730113
220604,8030162,16303882
213507,62795038,101883648
220613,29398301,32936546
198808,50783011,39747164
213543,675923000,1872716000
198835,75928610,136106163
166452,133236041,184914869
226231,17367274,37458704
209056,180647635,326109583
146612,98077653,119326573
142328,24210230,15700127
232557,319231881,2598059324
117104,3115209,4920616
140252,98037501,4714905
192271,55772840,NA
218238,36218414,9158633
220631,132519176,55145522
117557,1154256,NA
177940,84060837,3270186
213598,36404275,56324821
177968,19977308,159164606
157216,27000782,42800724
209065,62927367,117769708
219976,246671486,117264975
198862,19221724,7331400
177986,27093661,35193244
117636,1120742000,571019000
192448,219913804,481988736
232566,174502680,97291077
153825,60970305,56095391
490124,588604,NA
446385,8039500,NA
436429,114390113,NA
159568,20889937,45837712
159391,2820810951,722730548
159373,704860008,41635108
435000,558300928,241464652
159382,75380693,25897833
159416,96163823,29467903
